wc,tif,trb
5,11,51
9,35,80
8,34,65
8,17,63
4,8,27
7,12,43
8,31,49
3,5,24
13,63,100
6,21,84
40,269,453
12,51,209
18,88,230
12,86,110
8,15,65
6,21,48
19,74,113
6,23,13
5,13,22
7,24,47
7,28,52
5,4,23
7,15,62
6,7,29
10,36,94
6,14,30
13,90,109
5,7,39
7,36,49
14,51,147
30,235,423
5,10,26
7,6,49
8,31,77
5,14,39
13,56,109
6,25,60
4,9,26
6,13,38
8,19,61
9,53,53
646,4618,9580
5,9,22
7,24,45
6,15,41
7,11,44
6,12,80
23,172,109
238,1674,4130
357,3218,4476
4,7,23
132,755,980
7,23,32
5,16,40
5,4,28
6,10,45
187,733,3872
7,11,69
6,13,33
4,5,15
7,23,32
5,17,29
7,17,56
2,0,7
6,21,15
6,3,45
4,8,33
4,2,18
6,21,15
5,11,56
6,16,52
6,14,46
6,12,54
6,10,26
4,7,51
8,38,42
10,24,129
5,8,33
4,5,27
10,46,128
4,7,27
3,5,30
7,13,62
7,37,38
443,3658,5997
5,23,41
16,107,149
7,20,55
7,14,47
20,157,177
3,3,13
6,12,44
9,44,69
3,16,35
7,15,40
9,46,81
5,13,43
4,2,28
3,5,23
8,21,100
10,46,98
7,22,54
8,41,39
7,11,44
8,35,51
7,21,54
7,33,42
6,10,41
3,7,24
5,6,25
8,26,89
6,24,27
5,11,41
65,373,926
4,5,34
43,191,783
4,6,40
5,14,34
7,16,59
8,27,53
6,20,40
4,5,22
5,13,30
9,43,88
8,19,74
13,102,113
11,35,116
28,191,338
24,152,328
8,41,59
7,35,40
5,2,25
163,1133,1057
4,3,21
4,4,26
8,27,53
6,22,22
5,10,38
4,6,18
5,11,20
12,52,114
13,106,87
12,39,175
10,51,73
4,11,24
5,8,54
6,8,42
9,46,65
46,281,527
58,705,410
4,5,13
8,31,49
6,33,46
9,43,116
3,1,20
4,6,46
12,81,71
7,34,51
54,206,855
9,65,61
12,69,91
6,8,56
7,33,42
9,23,100
5,13,22
5,7,18
6,26,79
28,139,466
4,4,35
6,12,32
8,42,53
5,11,16
10,88,63
10,54,56
4,7,49
8,20,80
6,8,71
16,117,107
4,10,24
5,11,28
7,37,38
5,4,32
3,7,20
9,16,81
9,38,67
10,31,67
5,12,44
4,7,41
7,12,49
8,28,101
3,6,45
5,11,14
14,66,124
9,22,83
6,19,36
5,9,39
10,55,92
6,9,27
5,14,11
5,7,42
6,15,29
26,148,349
12,67,77
4,13,40
7,12,79
5,10,47
7,26,43
6,15,36
8,23,57
10,48,66
3,3,23
9,51,54
6,36,65
5,11,30
4,3,32
11,62,106
6,11,25
9,34,77
8,22,58
10,39,52
6,34,37
4,12,27
3,1,15
8,36,85
4,13,49
6,18,58
4,5,32
5,9,34
6,14,36
7,23,32
11,46,136
5,9,26
8,33,47
54,261,969
12,93,61
10,27,79
4,4,52
26,153,212
5,12,39
6,15,47
9,53,76
4,6,39
8,26,66
9,33,97
10,48,60
14,75,109
2,4,0
7,13,62
6,26,42
5,12,34
7,20,53
5,4,39
14,99,91
6,5,43
6,25,71
6,14,54
30,259,240
5,7,43
4,5,34
7,13,48
3,13,31
6,16,92
6,6,62
2,4,0
8,41,39
4,10,26
6,8,54
17,59,168
7,25,87
8,22,58
6,19,41
6,23,32
11,64,151
10,24,104
11,58,81
6,10,38
32,114,475
320,2178,3184
10,34,121
3,13,26
5,27,37
6,22,49
10,58,97
5,13,51
4,6,37
